date,covid_month,season,state,tests,cases,hospitalizations,deaths
2020-08-23,8,Summer,TN,37395,1854,50,4
2020-08-23,8,Summer,TX,17988,4398,0,104
2020-08-23,8,Summer,UT,4928,301,27,0
2020-08-23,8,Summer,VT,2148,5,0,0
2020-08-23,8,Summer,VA,12362,894,37,24
2020-08-23,8,Summer,WA,2503,551,31,7
2020-08-23,8,Summer,WV,4372,87,0,2
2020-08-23,8,Summer,WI,10977,479,13,0
2020-08-23,8,Summer,WY,258,36,4,0
2020-08-23,8,Summer,NA,0,0,0,0
2020-08-23,8,Summer,NA,3606,56,0,0
2020-08-23,8,Summer,NA,1075,53,0,0
2020-08-23,8,Summer,NA,0,0,0,0
2020-08-23,8,Summer,NA,195,195,0,9
2020-08-23,8,Summer,NA,0,0,0,0
2020-08-24,8,Summer,AL,-339,1650,291,11
2020-08-24,8,Summer,AK,3063,71,3,0
2020-08-24,8,Summer,AZ,6234,311,-22,0
2020-08-24,8,Summer,AR,2878,320,42,9
2020-08-24,8,Summer,CA,111456,4946,0,18
2020-08-24,8,Summer,CO,9049,198,4,1
2020-08-24,8,Summer,CT,5824,492,0,0
2020-08-24,8,Summer,DE,4194,47,0,4
2020-08-24,8,Summer,FL,39163,2224,129,72
2020-08-24,8,Summer,GA,33297,2304,56,24
2020-08-24,8,Summer,HI,3841,244,19,0
2020-08-24,8,Summer,ID,1292,191,10,1
2020-08-24,8,Summer,IL,36155,1612,0,8
2020-08-24,8,Summer,IN,6737,1660,62,5
2020-08-24,8,Summer,IA,2122,358,0,8
2020-08-24,8,Summer,KS,20642,1545,24,7
2020-08-24,8,Summer,KY,18788,370,37,4
2020-08-24,8,Summer,LA,8643,623,0,18
2020-08-24,8,Summer,ME,3085,21,1,0
2020-08-24,8,Summer,MD,22047,567,51,3
2020-08-24,8,Summer,MA,58462,662,12,27
2020-08-24,8,Summer,MI,21092,878,0,4
2020-08-24,8,Summer,MN,11977,714,44,4
2020-08-24,8,Summer,MS,8414,511,30,8
2020-08-24,8,Summer,MO,-3641,869,0,0
2020-08-24,8,Summer,MT,22924,60,4,1
2020-08-24,8,Summer,NE,1939,109,3,2
2020-08-24,8,Summer,NV,1569,409,0,3
2020-08-24,8,Summer,NH,3183,27,1,0
2020-08-24,8,Summer,NJ,27847,258,4,3
2020-08-24,8,Summer,NM,4501,73,10,2
2020-08-24,8,Summer,NY,62031,408,0,7
2020-08-24,8,Summer,NC,24169,1283,0,4
2020-08-24,8,Summer,ND,2396,126,4,0
2020-08-24,8,Summer,OH,27225,849,59,8
2020-08-24,8,Summer,OK,357,357,9,4
2020-08-24,8,Summer,OR,5241,227,0,0
2020-08-24,8,Summer,PA,16070,426,0,1
2020-08-24,8,Summer,RI,3508,39,0,0
2020-08-24,8,Summer,SC,4141,563,0,7
2020-08-24,8,Summer,SD,1314,149,6,0
2020-08-24,8,Summer,TN,14085,667,43,21
2020-08-24,8,Summer,TX,14670,2847,0,25
2020-08-24,8,Summer,UT,4197,249,15,5
2020-08-24,8,Summer,VT,2557,8,0,0
2020-08-24,8,Summer,VA,13084,664,31,4
2020-08-24,8,Summer,WA,1014,274,30,6
2020-08-24,8,Summer,WV,2536,40,0,1
2020-08-24,8,Summer,WI,13463,414,15,0
2020-08-24,8,Summer,WY,1651,24,4,0
2020-08-24,8,Summer,NA,0,0,0,0
2020-08-24,8,Summer,NA,3355,49,0,0
2020-08-24,8,Summer,NA,880,87,0,0
2020-08-24,8,Summer,NA,0,0,0,0
2020-08-24,8,Summer,NA,445,445,0,0
2020-08-24,8,Summer,NA,124,24,0,1
2020-08-25,8,Summer,AL,4625,532,0,13
2020-08-25,8,Summer,AK,3328,33,5,4
2020-08-25,8,Summer,AZ,18055,859,146,21
2020-08-25,8,Summer,AR,0,480,51,15
2020-08-25,8,Summer,CA,110019,4480,0,105
2020-08-25,8,Summer,CO,7996,459,49,7
2020-08-25,8,Summer,CT,20013,29,0,3
2020-08-25,8,Summer,DE,1274,20,0,-1
2020-08-25,8,Summer,FL,36233,2665,445,183
2020-08-25,8,Summer,GA,25669,2101,292,106
2020-08-25,8,Summer,HI,3087,384,23,2
2020-08-25,8,Summer,ID,1467,217,13,7
2020-08-25,8,Summer,IL,40859,1680,0,29
2020-08-25,8,Summer,IN,21702,829,74,16
2020-08-25,8,Summer,IA,3645,661,0,8
2020-08-25,8,Summer,KS,0,0,0,0
2020-08-25,8,Summer,KY,7896,669,47,10
2020-08-25,8,Summer,LA,21581,550,0,33
2020-08-25,8,Summer,ME,2432,12,1,0
2020-08-25,8,Summer,MD,12870,377,44,13
2020-08-25,8,Summer,MA,34873,398,11,12
2020-08-25,8,Summer,MI,24298,951,0,21
2020-08-25,8,Summer,MN,8473,409,43,8
2020-08-25,8,Summer,MS,4599,801,29,67
2020-08-25,8,Summer,MO,9015,692,0,14
2020-08-25,8,Summer,MT,2834,135,11,6
2020-08-25,8,Summer,NE,5774,158,20,5
2020-08-25,8,Summer,NV,5618,403,0,30
2020-08-25,8,Summer,NH,2794,16,1,0
2020-08-25,8,Summer,NJ,21136,355,16,4
2020-08-25,8,Summer,NM,4826,66,9,3
2020-08-25,8,Summer,NY,67255,629,0,2
2020-08-25,8,Summer,NC,13120,1345,0,35
2020-08-25,8,Summer,ND,3087,233,14,2
2020-08-25,8,Summer,OH,23961,844,97,10
2020-08-25,8,Summer,OK,17974,650,96,14
2020-08-25,8,Summer,OR,5554,218,44,3
2020-08-25,8,Summer,PA,22961,561,0,26
2020-08-25,8,Summer,RI,5713,70,14,4
2020-08-25,8,Summer,SC,9630,937,159,18
2020-08-25,8,Summer,SD,1115,134,9,0
2020-08-25,8,Summer,TN,15105,813,94,40
2020-08-25,8,Summer,TX,47183,6346,0,181
2020-08-25,8,Summer,UT,5145,403,28,7
2020-08-25,8,Summer,VT,1711,6,0,0
2020-08-25,8,Summer,VA,15897,1005,52,23
2020-08-25,8,Summer,WA,0,217,12,4
2020-08-25,8,Summer,WV,6708,83,0,8
2020-08-25,8,Summer,WI,9892,687,37,13
2020-08-25,8,Summer,WY,1479,31,2,0
2020-08-25,8,Summer,NA,0,0,0,0
2020-08-25,8,Summer,NA,2221,45,0,0
2020-08-25,8,Summer,NA,931,77,0,0
2020-08-25,8,Summer,NA,0,0,0,0
2020-08-25,8,Summer,NA,70,70,0,5
2020-08-25,8,Summer,NA,169,14,0,1
2020-08-26,8,Summer,AL,15568,2012,212,8
2020-08-26,8,Summer,AK,973,52,2,1
2020-08-26,8,Summer,AZ,17290,186,11,104
2020-08-26,8,Summer,AR,9569,649,48,21
2020-08-26,8,Summer,CA,70251,6004,0,150
